name,file_path,N,s,Disease,Cases,Controls,Discrepancy
GCST006464,Data_raw/30093612-GCST006464-EFO_1001512.h.tsv.gz,121885,0.105886696,EC,12906,108979,N
GCST006085,Data_raw/29892016-GCST006085-EFO_0001663.h.tsv.gz,140254,0.564319021,PC,79148,61106,Y
GCST90013445,Data_raw/GCST90013445.h.tsv.gz,59527,0.372150453,T1D,22153,37374,Y
GCST004988,Data_raw/29059683-GCST004988-EFO_0000305.h.tsv.gz,228951,0.5371324,BC,122977,105974,N
GCST005531,Data_raw/24076602-GCST005531-EFO_0003885.h.tsv.gz,38589,0.375702921,MS,14498,24091,N
GCST004133,Data_raw/28067908-GCST004133-EFO_0000729.h.tsv.gz,13673,0.305200029,UC,4173,9500,N
GCST002318,Data_raw/24390342-GCST002318-EFO_0000685.h.tsv.gz,103638,0.288311237,RA,29880,73758,N
GCST004132,Data_raw/28067908-GCST004132-EFO_0000384.h.tsv.gz,13974,0.320166023,CD,4474,9500,N
GCST004988_Erpos,Data_raw/BC_ERpos_Combined_Build38.tsv.gz,175475,0.396073515,BC_erpos,69501,105974,N
GCST004988_Erneg,Data_raw/BC_ERneg_Combined_Build38.tsv.gz,127442,0.1684531,BC_erneg,21468,105974,N
GCST004462,Data_raw/Ovarian_Cancer_Overall_Build38.tsv.gz,66450,0.383882619,OC,25509,40941,N
GCST004462_HGS,Data_raw/Ovarian_Cancer_HGS_Build38.tsv.gz,53978,0.241524325,OC_HGS,13037,40941,N
GCST010571,Data_raw/AITD_Saevarsdottir_32581359_1-hg38.tsv.gz,755406,0.040023511,HT,30234,725172,N
GCST003156,Data_raw/26502338-GCST003156-EFO_0002690.h.tsv.gz,23210,0.311029729,SLE,7219,15991,N
